INFO  - 2015-09-09 19:08:12.745; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2015-09-09 19:08:12.747; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2015-09-09 19:08:12.748; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.749; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2015-09-09 19:08:12.749; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2015-09-09 19:08:12.749; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2015-09-09 19:08:12.750; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2015-09-09 19:08:12.750; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2015-09-09 19:08:12.750; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2015-09-09 19:08:12.750; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2015-09-09 19:08:12.751; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2015-09-09 19:08:12.752; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2015-09-09 19:08:12.753; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2015-09-09 19:08:12.754; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
